Country,Region,HappinessScore2015,HappinessScore2016,HappinessScore2017,DifferenceYoY_2015-2016,DifferenceYoY_2016-2017,DifferenceYoY_2015-2017,EconomyAvg_2015,EconomyAvg_2016,EconomyAvg_2017,FamilyAvg_2015,FamilyAvg_2016,FamilyAvg_2017,HealthLifeExpAvg_2015,HealthLifeExpAvg_2016,HealthLifeExpAvg_2017,FreedomAvg_2015,FreedomAvg_2016,FreedomAvg_2017,TrustGovtAvg_2015,TrustGovtAvg_2016,TrustGovtAvg_2017,GenerosityAvg_2015,GenerosityAvg_2016,GenerosityAvg_2017
Brazil,Latin America and Caribbean,6.983,6.952,6.635000229,0.031,0.316999771,0.347999771,0.98124,1.08754,1.10735321,1.23287,1.03938,1.431306005,0.69702,0.61415,0.616552353,0.49049,0.40425,0.437453747,0.17521,0.14166,0.162349895,0.14574,0.15776,0.111092761
Panama,Latin America and Caribbean,6.786,6.701,6.452000141,0.085,0.248999859,0.333999859,1.06353,1.18306,1.233748436,1.1985,0.98912,1.373192549,0.79661,0.70835,0.706156135,0.5421,0.48927,0.550026834,0.0927,0.08423,0.210556939,0.24434,0.2418,0.070983924
Costa Rica,Latin America and Caribbean,7.226,7.087,7.078999996,0.139,0.008000004,0.147000004,0.95578,1.06879,1.109706283,1.23788,1.02152,1.416403651,0.86027,0.76146,0.759509265,0.63376,0.55225,0.58013165,0.10583,0.10547,0.214613229,0.25497,0.22553,0.100106589
El Salvador,Latin America and Caribbean,6.13,6.068,6.002999783,0.062,0.065000217,0.127000217,0.76454,0.8737,0.909784496,1.02507,0.80975,1.182125092,0.67737,0.596,0.596018553,0.4035,0.37269,0.43245253,0.11776,0.10613,0.078257985,0.10692,0.08877,0.08998096
Colombia,Latin America and Caribbean,6.477,6.481,6.356999874,-0.004,0.124000126,0.120000126,0.91861,1.03032,1.070622325,1.24018,1.02169,1.402182937,0.69077,0.59659,0.595027924,0.53466,0.44735,0.477487415,0.0512,0.05399,0.149014473,0.18401,0.15626,0.046668742
Peru,Latin America and Caribbean,5.824,5.743,5.715000153,0.081,0.027999847,0.108999847,0.90019,0.99602,1.035225272,0.97459,0.81255,1.218770385,0.73017,0.62994,0.630166113,0.41496,0.37502,0.450002879,0.05989,0.05292,0.126819715,0.14982,0.14527,0.047049087
Bolivia,Latin America and Caribbean,5.89,5.822,5.822999954,0.068,-0.000999954,0.067000046,0.68133,0.79422,0.833756566,0.97841,0.83779,1.227619052,0.5392,0.4697,0.47363025,0.57414,0.50961,0.558732927,0.088,0.07746,0.225560725,0.20536,0.21698,0.060477726
Uruguay,Latin America and Caribbean,6.485,6.545,6.453999996,-0.06,0.091000004,0.031000004,1.06166,1.18157,1.217559695,1.2089,1.03143,1.412227869,0.8116,0.72183,0.719216824,0.60362,0.54388,0.579392254,0.24558,0.21394,0.175096929,0.2324,0.18056,0.178061873
Chile,Latin America and Caribbean,6.67,6.705,6.65199995,-0.035,0.05300005,0.01800005,1.10715,1.2167,1.25278461,1.12447,0.90587,1.284024954,0.85857,0.81883,0.819479704,0.44132,0.37789,0.376895279,0.12869,0.11451,0.326662421,0.33363,0.31595,0.082287982
Trinidad and Tobago,Latin America and Caribbean,6.168,6.168,6.168000221,0,-0.000000221,-0.000000221,1.21183,1.32572,1.361355901,1.18354,0.98569,1.380228519,0.61483,0.52608,0.519983292,0.55884,0.48453,0.518630743,0.0114,0.01241,0.325296462,0.31844,0.31935,0.008964816
Argentina,Latin America and Caribbean,6.574,6.65,6.598999977,-0.076,0.051000023,-0.024999977,1.05351,1.15137,1.185295463,1.24823,1.06612,1.440451145,0.78723,0.69711,0.695137084,0.44974,0.42284,0.494519204,0.08484,0.07296,0.109457061,0.11451,0.10989,0.059739888
Ecuador,Latin America and Caribbean,5.975,5.976,6.007999897,-0.001,-0.031999897,-0.032999897,0.86402,0.97306,1.000820398,0.99903,0.85974,1.286168814,0.79075,0.68613,0.685636222,0.48574,0.4027,0.455198199,0.1809,0.18037,0.150112465,0.11541,0.10074,0.140134647
Nicaragua,Latin America and Caribbean,5.828,5.992,6.071000099,-0.164,-0.079000099,-0.243000099,0.59325,0.69384,0.737299204,1.14184,0.89521,1.28721571,0.74314,0.65213,0.653095961,0.55475,0.46582,0.447551847,0.19317,0.16292,0.301674217,0.27815,0.29773,0.130687982
Guatemala,Latin America and Caribbean,6.123,6.324,6.453999996,-0.201,-0.129999996,-0.330999996,0.74553,0.83454,0.872001946,1.04356,0.87119,1.255585194,0.64425,0.54039,0.54023999,0.57733,0.50379,0.531310618,0.09472,0.08701,0.283488393,0.27489,0.28808,0.077223279
Dominican Republic,Latin America and Caribbean,4.885,5.155,5.230000019,-0.27,-0.075000019,-0.345000019,0.89537,1.02787,1.079373837,1.17202,0.99496,1.402416706,0.66825,0.57669,0.574873745,0.57672,0.52259,0.552589834,0.14234,0.12372,0.18696785,0.21684,0.21286,0.113945253
Honduras,Latin America and Caribbean,4.788,4.871,5.181000233,-0.083,-0.310000233,-0.393000233,0.59532,0.69429,0.730573118,0.95348,0.75596,1.143944979,0.6951,0.58383,0.58256948,0.40148,0.26755,0.34807986,0.06825,0.06906,0.236188874,0.23027,0.2044,0.073345453
Algeria,Middle East and Northern Africa,5.605,6.355,5.872000217,-0.75,0.482999783,-0.267000217,0.93929,1.05266,1.091864467,1.07772,0.83309,1.146217465,0.61766,0.61804,0.617584646,0.28579,0.21006,0.233335808,0.17383,0.16157,0.069436647,0.07822,0.07044,0.14609611
Bahrain,Middle East and Northern Africa,5.96,6.218,6.086999893,-0.258,0.131000107,-0.126999893,1.32376,1.44024,1.488412261,1.21624,0.94397,1.323110461,0.74716,0.65696,0.653133035,0.45492,0.47375,0.536746919,0.306,0.25772,0.172668487,0.17362,0.17147,0.25704217
Egypt,Middle East and Northern Africa,4.194,4.362,4.735000134,-0.168,-0.373000134,-0.541000134,0.8818,0.95395,0.989701807,0.747,0.49813,0.997471392,0.61712,0.52116,0.520187259,0.17288,0.18847,0.282110155,0.06324,0.10393,0.128631443,0.11291,0.12706,0.114381365
Iran,Middle East and Northern Africa,4.686,4.813,4.691999912,-0.127,0.121000088,-0.005999912,1.0088,1.11758,1.156873107,0.54447,0.38857,0.711551249,0.69805,0.64232,0.639333189,0.30033,0.22544,0.249322608,0.05863,0.0557,0.387242913,0.38086,0.38538,0.048761073
Iraq,Middle East and Northern Africa,4.677,4.575,4.497000217,0.102,0.077999783,0.179999783,0.98549,1.07474,1.102710485,0.81889,0.59205,0.978613198,0.60237,0.51076,0.50118047,0,0.24856,0.288555533,0.13788,0.13636,0.199637264,0.17922,0.19589,0.107215755
Israel,Middle East and Northern Africa,7.278,7.267,7.212999821,0.011,0.054000179,0.065000179,1.22857,1.33766,1.375382423,1.22393,0.99537,1.376289964,0.91387,0.84917,0.838404,0.41319,0.36432,0.405988604,0.07785,0.08728,0.330082655,0.33172,0.32288,0.0852421
Jordan,Middle East and Northern Africa,5.192,5.303,5.335999966,-0.111,-0.032999966,-0.143999966,0.90198,0.99673,0.991012394,1.05392,0.86216,1.239088893,0.69639,0.60712,0.604590058,0.40661,0.36023,0.418421149,0.14293,0.13297,0.17217046,0.11053,0.14262,0.119803272
Kuwait,Middle East and Northern Africa,6.295,6.239,6.105000019,0.056,0.133999981,0.189999981,1.55422,1.61714,1.632952452,1.16594,0.87758,1.259698749,0.72492,0.63569,0.632105708,0.55499,0.43166,0.496337593,0.25609,0.23669,0.228289798,0.16228,0.15965,0.21515955
Lebanon,Middle East and Northern Africa,4.839,5.129,5.224999905,-0.29,-0.095999905,-0.385999905,1.02564,1.12268,1.074987531,0.80001,0.64184,1.129624248,0.83947,0.76171,0.735081077,0.33916,0.26228,0.288515985,0.04582,0.03061,0.264450759,0.21854,0.23693,0.03751383
Libya,Middle East and Northern Africa,5.754,5.615,5.525000095,0.139,0.089999905,0.228999905,1.13145,1.06688,1.101803064,1.11862,0.95076,1.35756433,0.7038,0.52304,0.52016902,0.41668,0.40672,0.46573323,0.11023,0.10339,0.152073666,0.18295,0.17087,0.09261021
Morocco,Middle East and Northern Africa,5.013,5.151,5.235000134,-0.138,-0.084000134,-0.222000134,0.73479,0.84058,0.878114581,0.64095,0.38595,0.774864435,0.60954,0.59471,0.597710669,0.41691,0.25646,0.408158332,0.08546,0.08404,0.032209955,0.07172,0.04053,0.087763183
Palestinian Territories,Middle East and Northern Africa,4.715,4.754,4.775000095,-0.039,-0.021000095,-0.060000095,0.59867,0.67024,0.716249228,0.92558,0.71629,1.155647159,0.66015,0.56844,0.565666974,0.24499,0.17744,0.254711062,0.12905,0.10613,0.114173174,0.11251,0.11154,0.089282602
Qatar,Middle East and Northern Africa,6.611,6.375,6.375,0.236,0,0.236,1.69042,1.82427,1.870765686,1.0786,0.87964,1.27429688,0.79733,0.71723,0.710098088,0.6404,0.56679,0.604130983,0.52208,0.48049,0.33047387,0.32573,0.32388,0.439299256
Saudi Arabia,Middle East and Northern Africa,6.411,6.379,6.343999863,0.032,0.035000137,0.067000137,1.39541,1.48953,1.530623555,1.08393,0.84829,1.286677599,0.72025,0.59267,0.59014833,0.31048,0.37904,0.449750572,0.32524,0.30008,0.147616014,0.13706,0.15457,0.273432255
Syria,Middle East and Northern Africa,3.006,3.069,3.461999893,-0.063,-0.392999893,-0.455999893,0.6632,0.74719,0.777153134,0.47489,0.14866,0.396102607,0.72193,0.62994,0.500533342,0.15684,0.06912,0.081539445,0.18906,0.17233,0.493663728,0.47179,0.48397,0.151347131
